1022 Chihuahua                    01/02/2014     02/26/2013     F    1
1036 Pug                          01/03/2014     06/11/2007     M    2
1039 Terrier                      01/05/2014     02/08/2012     F    2
1045 Doberman Pinscher            01/10/2014     12/30/2012     M    2
1050 Australian Shepherd          01/12/2014     99             F    3
1063 Bulldog                      01/12/2014     08/24/2012     M    2
1068 Siberian Husky               01/15/2014     03/26/2006     M    3
1072 Chihuahua                    01/19/2014     06/24/2013     M    2
1079 Golden Retriever             01/20/2014     08/10/2011     M    2
1089 Pug                          01/20/2014     05/30/2008     F    4
1093 Pug                          01/20/2014     08/21/2011     M    2
1097 Labrador Retriever           01/21/2014     10/18/2008     M    2
1106 Doberman Pinscher            01/22/2014     02/26/2011     F    2
1108 Rottweiler                   01/26/2014     02/02/2009     F    2
1117 Dachshund                    01/28/2014     06/22/2010     M    3
1118 Rottweiler                   01/28/2014     07/19/2013     F    2
1128 Golden Retriever             01/99/2014     03/24/2006     F    3
1135 Rottweiler                   01/99/2014     03/15/2010     F    2
1147 Australian Cattle Dog        02/02/2014     11/01/2009     M    3
1156 Australian Shepherd          02/03/2014     99             M    4
1164 Chihuahua                    02/05/2014     09/25/2011     M    4
1165 German Shepherd Dog          02/06/2014     01/13/2012     F    1
1171 Poodle                       02/06/2014     02/02/2008     M    3
1179 Australian Cattle Dog        02/07/2014     07/21/2012     F    2
1187 Dachshund                    02/07/2014     99             M    3
1201 Golden Retriever             02/10/2014     99             M    1
1215 Terrier                      02/11/2014     10/20/2007     M    1
1221 Labrador Retriever           02/11/2014     01/06/2007     F    4
1224 Australian Shepherd          02/12/2014     01/10/2010     F    2
1237 Chihuahua                    02/21/2014     02/21/2007     F    1
1245 Rottweiler                   02/21/2014     04/16/2011     M    2
1256 Chihuahua                    02/22/2014     99             F    4
1257 Chihuahua                    02/99/2014     04/02/2007     F    4
1269 Chihuahua                    03/04/2014     11/17/2004     M    1
1273 Golden Retriever             03/04/2014     06/16/2006     M    4
1275 Chihuahua                    03/05/2014     07/16/2007     F    1
1289 Australian Shepherd          03/07/2014     02/24/2010     M    4
1297 Shetland Sheepdog            03/07/2014     09/02/2009     M    2
1311 Poodle                       03/08/2014     02/10/2011     M    4
1319 Basset Hound                 03/09/2014     11/24/2013     M    4
1330 Pointer                      03/09/2014     09/28/2010     F    3
1334 Pug                          03/11/2014     09/01/2004     M    3
1341 Chihuahua                    03/12/2014     09/20/2006     M    1
1348 Pomeranian                   03/15/2014     05/04/2013     F    4
1356 Bulldog                      03/16/2014     99             M    2
1369 Bulldog                      03/17/2014     99             F    1
1374 Shetland Sheepdog            03/17/2014     05/01/2009     F    3
1382 Labrador Retriever           03/20/2014     08/09/2007     M    2
1389 Alaskan Malamute             03/21/2014     11/13/2015     M    3
1396 Greyhound                    03/21/2014     99             M    4
1406 Labrador Retriever           03/21/2014     04/30/2011     M    1
1414 Beagle                       03/22/2014     07/10/2012     M    2
1420 Chow Chow                    03/27/2014     03/31/2005     M    3
1434 Australian Shepherd          03/28/2014     99             F    2
1439 Schnauzer                    03/99/2014     09/09/2009     M    2
1445 Australian Shepherd          03/99/2014     99             M    2
1446 Golden Retriever             03/99/2014     01/01/2010     M    1
1453 Dachshund                    04/05/2014     07/11/2012     M    2
1463 Schnauzer                    04/06/2014     11/07/2011     M    3
1468 Labrador Retriever           04/06/2014     05/29/2009     F    2
1475 Terrier                      04/08/2014     11/10/2005     M    3
1480 Schnauzer                    04/10/2014     99             M    2
1494 Greyhound                    04/11/2014     99             F    2
1495 Chihuahua                    04/12/2014     07/04/2008     M    1
1497 Dachshund                    04/12/2014     02/19/2013     F    1
1506 Terrier                      04/15/2014     05/07/2010     F    2
1514 German Shepherd Dog          04/17/2014     08/01/2008     F    4
1519 Chow Chow                    04/20/2014     99             F    3
1522 Labrador Retriever           04/20/2014     12/07/2009     F    1
1526 Labrador Retriever           04/21/2014     03/17/2008     M    4
1533 Chihuahua                    04/23/2014     06/18/2011     M    2
1535 Pekingese                    04/24/2014     08/12/2010     F    1
1538 Greyhound                    04/28/2014     99             M    2
1541 Chihuahua                    04/29/2014     09/16/2011     F    2
1553 Golden Retriever             04/99/2014     04/07/2013     M    1
1566 Doberman Pinscher            04/99/2014     05/11/2012     M    2
1568 Terrier                      05/01/2014     99             M    4
1575 Labrador Retriever           05/01/2014     99             F    3
1582 Labrador Retriever           05/02/2014     04/27/2012     M    3
1591 Boxer                        05/03/2014     05/01/2007     M    1
1593 Rottweiler                   05/04/2014     12/09/2012     F    4
1601 Golden Retriever             05/06/2014     02/07/2011     F    4
1614 Golden Retriever             05/07/2014     08/16/2009     M    1
1621 Dalmatian                    05/08/2014     11/06/2012     M    1
1628 Schnauzer                    05/08/2014     08/02/2014     F    1
1638 Australian Cattle Dog        05/09/2014     04/16/2011     F    1
1643 Doberman Pinscher            05/10/2014     99             F    4
1644 Doberman Pinscher            05/12/2014     01/02/2012     F    1
1651 German Shepherd Dog          05/13/2014     09/01/2011     M    2
1654 Akita                        05/14/2014     07/08/2012     F    3
1658 Pug                          05/15/2014     99             M    4
1667 Dalmatian                    05/17/2014     09/11/2012     M    4
1672 German Shepherd Dog          05/17/2014     09/01/2008     F    1
1678 Rottweiler                   05/17/2014     11/23/2010     F    2
1689 Boxer                        05/20/2014     03/28/2008     F    3
1690 Chihuahua                    05/20/2014     99             F    1
1694 Greyhound                    05/22/2014     09/22/2010     F    4
1706 Doberman Pinscher            05/23/2014     99             M    4
1717 Chihuahua                    05/25/2014     07/27/2013     M    2
1722 Australian Cattle Dog        05/26/2014     05/26/2014     M    6
1723 Australian Cattle Dog        05/26/2014     05/26/2014     F    6
1724 Australian Cattle Dog        05/26/2014     05/26/2014     F    6
1725 Australian Cattle Dog        05/26/2014     05/26/2014     M    6
1726 Australian Cattle Dog        05/26/2014     05/26/2014     M    6
1727 Australian Cattle Dog        05/26/2014     05/26/2014     M    6
1733 Golden Retriever             05/99/2014     09/01/2008     M    2
1736 Pug                          05/99/2014     99             F    3
