1  Almond                      #EFDECD  (239, 222, 205)  120 1998
2  Antique Brass               #CD9575  (205, 149, 117)  120 1998
3  Apricot                     #FDD9B5  (253, 217, 181)  24 1949
4  Aquamarine                  #78DBE2  (120, 219, 226)  64 1958
5  Asparagus                   #87A96B  (135, 169, 107)  96 1993
6  Atomic Tangerine            #FFA474  (255, 164, 116)  72 1972
7  Banana Mania                #FAE7B5  (250, 231, 181)  120 1998
8  Beaver                      #9F8170  (159, 129, 112)  120 1998
9  Bittersweet                 #FD7C6E  (253, 124, 110)  48 1949
10  Black                      #000000  (0,0,0)          8 1903
11  Blizzard Blue              #ACE5EE  (172, 229, 238)  72 1972 2003
12  Blue                       #1F75FE  (31, 117, 254)   8 1903
13  Blue Bell                  #A2A2D0  (162, 162, 208)  120 1998
14  Blue Gray                  #6699CC  (102, 153, 204)  64 1958 1990
15  Blue Green                 #0D98BA  (13, 152, 186)   16 1949
16  Blue Violet                #7366BD  (115, 102, 189)  16 1949
17  Blush                      #DE5D83  (222, 93, 131)   120 1998
18  Brick Red                  #CB4154  (203, 65, 84)    48 1949
19  Brown                      #B4674D  (180, 103, 77)   8 1903
20  Burnt Orange               #FF7F49  (255, 127, 73)   64 1958
21  Burnt Sienna               #EA7E5D  (234, 126, 93)   48 1949
22  Cadet Blue                 #B0B7C6  (176, 183, 198)  64 1958
23  Canary                     #FFFF99  (255, 255, 153)  120 1998
24  Caribbean Green            #1CD3A2  (28, 211, 162)   120 1998
25  Carnation Pink             #FFAACC  (255, 170, 204)  16 1949
26  Cerise                     #DD4492  (221, 68, 146)   96 1993
27  Cerulean                   #1DACD6  (29, 172, 214)   24 1990
28  Chestnut                   #BC5D58  (188, 93, 88)    64 1958
29  Copper                     #DD9475  (221, 148, 117)  64 1958
30  Cornflower                 #9ACEEB  (154, 206, 235)  48 1949
31  Cotton Candy               #FFBCD9  (255, 188, 217)  120 1998
32  Dandelion                  #FDDB6D  (253, 219, 109)  24 1990
33  Denim                      #2B6CC4  (43, 108, 196)   96 1993
34  Desert Sand                #EFCDB8  (239, 205, 184)  120 1998
35  Eggplant                   #6E5160  (110, 81, 96)    120 1998
36  Electric Lime              #CEFF1D  (206, 255, 29)   80 1990
37  Fern                       #71BC78  (113, 188, 120)  120 1998
38  Forest Green               #6DAE81  (109, 174, 129)  64 1958
39  Fuchsia                    #C364C5  (195, 100, 197)  80 1990
40  Fuzzy Wuzzy                #CC6666  (204, 102, 102)  120 1998
41  Gold                       #E7C697  (231, 198, 151)  48 1949
42  Goldenrod                  #FCD975  (252, 217, 117)  64 1958
43  Granny Smith Apple         #A8E4A0  (168, 228, 160)  96 1993
44  Gray                       #95918C  (149, 145, 140)  24 1949
45  Green                      #1CAC78  (28, 172, 120)   8 1903
46  Green Blue                 #1164B4  (17, 100, 180)   48 1949 1990
47  Green Yellow               #F0E891  (240, 232, 145)  24 1949
48  Hot Magenta                #FF1DCE  (255, 29, 206)   72 1972
49  Inchworm                   #B2EC5D  (178, 236, 93)   120 2003
50  Indigo                     #5D76CB  (93, 118, 203)   24 2000
51  Jazzberry Jam              #CA3767  (202, 55, 103)   120 2003
52  Jungle Green               #3BB08F  (59, 176, 143)   80 1990
53  Laser Lemon                #FEFE22  (254, 254, 34)   72 1972
54  Lavender                   #FCB4D5  (252, 180, 213)  64 1958
55  Lemon Yellow               #FFF44F  (255, 244, 79)   48 1949 1990
56  Macaroni and Cheese        #FFBD88  (255, 189, 136)  96 1993
57  Magenta                    #F664AF  (246, 100, 175)  48 1949
