Mount Everest/Sagarmatha/Chomolungma   8,848   29,029   1953   8,848
K2/Qogir/Godwin Austen                 8,611   28,251   1954   4,017
Kangchenjunga                          8,586   28,169   1955   3,922
Lhotse                                 8,516   27,940   1956   610
Makalu                                 8,485   27,838   1955   2,386
Cho Oyu                                8,188   26,864   1954   2,340
Dhaulagiri I                           8,167   26,795   1960   3,357
Manaslu                                8,163   26,781   1956   3,092
Nanga Parbat                           8,126   26,660   1953   4,608
Annapurna I                            8,091   26,545   1950   2,984
Gasherbrum I/Hidden Peak/K5            8,080   26,509   1958   2,155
Broad Peak/K3                          8,051   26,414   1957   1,701
Gasherbrum II/K4                       8,034   26,362   1956   1,523
Shishapangma                           8,027   26,335   1964   2,897
Gyachung Kang                          7,952   26,089   1964   700
Gasherbrum III                         7,946   26,070   1975   355
Annapurna II                           7,937   26,040   1960   2,437
Gasherbrum IV                          7,932   26,024   1958   715
Himalchuli                             7,893   25,896   1960   1,633
Distaghil Sar                          7,884   25,866   1960   2,525
Ngadi Chuli                            7,871   25,823   1970   1,020
Nuptse                                 7,864   25,801   1961   319
Khunyang Chhish                        7,823   25,666   1971   1,765
Masherbrum/K1                          7,821   25,659   1960   2,457
Nanda Devi                             7,816   25,643   1936   3,139
Chomo Lonzo                            7,804   25,604   1954   590
Batura Sar                             7,795   25,574   1976   3,118
Kanjut Sar                             7,790   25,558   1959   1,690
Rakaposhi                              7,788   25,551   1958   2,818
Namcha Barwa                           7,782   25,531   1992   4,106
Kamet                                  7,756   25,446   1931   2,825
Dhaulagiri II                          7,751   25,430   1971   2,396
Saltoro Kangri/K10                     7,742   25,400   1962   2,160
Jannu                                  7,711   25,299   1962   1,036
Tirich Mir                             7,708   25,289   1950   3,910
Molamenqing                            7,703   25,272   1981   430
Gurla Mandhata                         7,694   25,243   1985   2,788
Saser Kangri I/K22                     7,672   25,171   1973   2,304
Chogolisa                              7,665   25,148   1975   1,624
Dhaulagiri IV                          7,661   25,135   1975   469
Kongur Tagh                            7,649   25,095   1981   3,585
Dhaulagiri V                           7,618   24,993   1975   340
Shispare                               7,611   24,970   1974   1,240
Trivor                                 7,577   24,859   1960   980
Gangkhar Puensum                       7,570   24,836   unclimbed   2,995
Gongga Shan/Minya Konka                7,556   24,790   1932   3,642
Annapurna III                          7,555   24,787   1961   703
Muztagh Ata                            7,546   24,757   1956   2,735
Skyang Kangri                          7,545   24,754   1976   1,085
Changtse                               7,543   24,747   1982   520
Kula Kangri                            7,538   24,731   1986   1,650
Kongur Tiube                           7,530   24,705   1956   840
Mamostong Kangri                       7,516   24,659   1984   1,803
Saser Kangri II E                      7,513   24,649   2011   1,450
Ismoil Somoni Peak                     7,495   24,590   1933   3,402
Saser Kangri III                       7,495   24,590   1986   850
Noshaq                                 7,492   24,580   1960   2,024
Pumari Chhish                          7,492   24,580   1979   890
Pasu Sar                               7,476   24,528   1994   645
Yukshin Gardan Sar                     7,469   24,505   1984   1,313
Teram Kangri I                         7,462   24,482   1975   1,702
Jongsong Peak                          7,462   24,482   1930   1,298
Malubiting                             7,458   24,469   1971   2,193
Gangapurna                             7,455   24,459   1965   563
Jengish Chokusu/Tömür/Pk Pobeda        7,439   24,406   1938   4,148
K12                                    7,428   24,370   1974   1,978
Yangra/Ganesh I                        7,422   24,350   1955   2,352
Sia Kangri                             7,422   24,350   1934   640
Momhil Sar                             7,414   24,324   1964   980
Kabru N                                7,412   24,318   1994   780
Skil Brum                              7,410   24,311   1957   1,152
Haramosh                               7,409   24,308   1958   2,277
Istor-o-Nal                            7,403   24,288   1969   1,040
Ghent Kangri                           7,401   24,281   1961   1,493
Ultar Sar                              7,388   24,239   1996   700
Rimo I                                 7,385   24,229   1988   1,438
Churen Himal                           7,385   24,229   1970   600
Teram Kangri III                       7,382   24,219   1979   520
Sherpi Kangri                          7,380   24,213   1976   1,000
Labuche Kang                           7,367   24,170   1987   1,957
Kirat Chuli                            7,362   24,153   1939   1,168
Abi Gamin                              7,355   24,131   1950   217
Nangpai Gosum                          7,350   24,114   1996   500
Gimmigela/The Twins                    7,350   24,114   1994   432
Saraghrar                              7,349   24,111   1959   1,979
Jomolhari                              7,326   24,035   1937   2,077
Chamlang                               7,321   24,019   1961   1,240
Chongtar                               7,315   23,999   1994   1,300
Baltoro Kangri                         7,312   23,990   1976   1,200
Siguang Ri                             7,309   23,980   1989   650
The Crown/Huang Guan                   7,295   23,934   1993   1,919
Gyala Peri                             7,294   23,930   1986   2,942
Porong Ri                              7,292   23,924   1982   520
Baintha Brakk/The Ogre                 7,285   23,901   1977   1,891
Yutmaru Sar                            7,283   23,894   1980   620
Baltistan Peak/K6                      7,282   23,891   1970   1,962
Kangpenqing/Gang Benchhen              7,281   23,888   1982   1,340
Muztagh Tower                          7,276   23,871   1956   1,710
Mana                                   7,272   23,858   1937   730
Dhaulagiri VI                          7,268   23,845   1970   485
Diran                                  7,266   23,839   1968   1,325
Labuche Kang III/East                  7,250   23,786   unclimbed   570
Putha Hiunchuli                        7,246   23,773   1954   1,151
Apsarasas Kangri                       7,245   23,770   1976   635
Mukut Parbat                           7,242   23,760   1951   840
Rimo III                               7,233   23,730   1985   615
Langtang Lirung                        7,227   23,711   1978   1,525
Karjiang                               7,221   23,691   unclimbed   880
Annapurna Dakshin                      7,219   23,684   1964   775
Khartaphu                              7,213   23,665   1935   712
Tongshanjiabu                          7,207   23,645   unclimbed   1,757
Malangutti Sar                         7,207   23,645   1985   515
Noijin Kangsang/Norin Kang             7,206   23,642   1986   2,160
Langtang Ri                            7,205   23,638   1981   650
Kangphu Kang                           7,204   23,635   2002   1,200
Singhi Kangri                          7,202   23,629   1976   790
Lupghar Sar                            7,200   23,622   1979   730
