SurveyNum,Arugula,PineNut,Squash,Shrimp,Eggplant
0101,1,3,3,,
0102,5,4,2,,
0103,4,2,5,,
0104,5,3,2,,
0105,3,5,5,,
0106,2,3,1,,
0107,2,5,5,,
0108,1,3,1,,
0109,4,3,3,,
0110,2,2,5,,
0201,4,2,5,,
0202,3,1,2,,
0203,3,2,5,,
0204,1,5,4,,
0205,3,2,1,,
0206,4,5,1,,
0207,5,3,5,,
0208,1,1,5,,
0209,5,4,3,,
0210,5,2,5,,
0301,1,,5,4,
0302,5,,3,1,
0303,4,,5,2,
0304,5,,5,1,
0305,1,,3,4,
0306,4,,3,4,
0307,5,,1,4,
0308,4,,1,2,
0309,1,,3,1,
0310,4,,3,2,
0401,3,,1,3,
0402,3,,2,4,
0403,1,,3,2,
0404,5,,3,2,
0405,2,,4,3,
0406,2,,3,1,
0407,4,,5,4,
0408,3,,2,5,
0409,2,,1,5,
0410,1,,4,1,
0501,,2,2,,3
0502,,3,1,,5
0503,,4,4,,4
0504,,2,4,,4
0505,,2,4,,3
0506,,4,5,,1
0507,,4,2,,1
0508,,5,5,,1
0509,,1,1,,4
0510,,4,3,,4
0601,,2,,2,3
0602,,2,,4,2
0603,,3,,3,1
0604,,5,,1,1
0605,,3,,2,1
0606,,4,,5,1
0607,,1,,1,1
0608,,5,,3,5
0609,,2,,2,4
0610,,3,,2,1
0701,,5,,3,3
0702,,3,,5,4
0703,,2,,2,4
0704,,3,,5,5
0705,,2,,3,5
0706,,5,,3,2
0707,,5,,5,2
0708,,5,,2,3
0709,,2,,1,4
0710,,2,,2,2
0801,,2,,3,4
0802,,2,,2,5
0803,,2,,4,4
0804,,3,,3,4
0805,,4,,1,2
0806,,3,,2,1
0807,,3,,2,4
0808,,4,,4,4
0809,,3,,3,2
0810,,2,,1,3
0901,,2,,1,5
0902,,5,,2,1
0903,,5,,4,2
0904,,1,,4,1
0905,,5,,3,5
0906,,4,,5,1
0907,,1,,5,1
0908,,2,,5,5
0909,,4,,3,4
0910,,1,,4,1
1001,,2,5,3,
1002,,5,1,3,
1003,,3,4,5,
1004,,1,2,5,
1005,,2,4,4,
1006,,5,5,4,
1007,,5,3,2,
1008,,2,3,5,
1009,,3,5,1,
1010,,3,4,4,
1101,,5,2,3,
1102,,4,2,3,
1103,,3,3,4,
1104,,3,1,3,
1105,,4,4,3,
1106,,4,1,4,
1107,,4,3,1,
1108,,4,4,3,
1109,,4,2,2,
1110,,3,4,2,
1201,,1,1,4,
1202,,5,5,4,
1203,,4,3,4,
1204,,3,5,4,
1205,,2,1,1,
1206,,4,1,4,
1207,,1,1,5,
1208,,3,5,1,
1209,,4,5,3,
1210,,5,5,1,
