Banana Split,109,250,140,15.0,8.0,0,65,40,27,<1,25,3,,,"Banana & Strawberry Ice Creams with Walnuts,Fudge Chunks & a Fudge Swirl",
Bonnaroo Buzz,108,280,130,14.0,9.0,0,60,115,33,0,25,4,,,"Coffee & Malt Ice Creams with Toffee Chunks & a Whiskey (Alcohol) Caramel Swirl",
Brownie Batter,109,290,150,17.0,9.0,0,65,115,32,1,25,5,,,"Brownie Batter Ice Cream with a Rich Brownie Batter Swirl",
Butter Pecan,86,260,180,20.0,8.0,0,50,105,17,0,15,4,,,"Rich Buttery Ice Cream with Roasted Pecans",Scoop Shop Exclusive
Cake Batter,105,260,140,16.0,10.0,0,65,75,27,<1,23,4,,,"Yellow Cake Batter Ice Cream with a Chocolate Frosting Swirl",
Cannoli (limited),102,280,140,16.0,11.0,0,65,60,28,0,23,4,,,"Marscapone Ice Cream with Fudge covered Cannoli Pastry Shell Chunks & a Marscapone Swirl",
Cheesecake Brownie,101,250,130,14.0,7.0,0,70,85,27,0,24,3,,,"Cheesecake Ice Cream with Cheesecake Brownie Chunks",
Cherry Garcia®,106,240,120,13.0,9.0,0,60,35,28,<1,23,4,,,"Cherry Ice Cream with Cherries & Fudge Flakes",
Chocolate,105,250,130,14.0,10.0,0,40,50,25,2,21,4,,,"SMOOTH Chocolate ice cream (made with Fair Trade Certified cocoa)",
Chocolate Chip Cookie Dough,106,270,130,14.0,8.0,0,65,60,33,0,25,4,,,"Vanilla Ice Cream with Gobs of Chocolate Chip Cookie Dough",
Chocolate Fudge Brownie,105,260,110,12.0,7.0,0,40,65,34,2,27,4,,,"Chocolate Ice Cream with Fudge Brownies",
Chocolate Macadamia,102,270,160,18.0,12.0,0,50,65,25,1,22,4,,,"Chocolate & Vanilla Ice Creams with Fudge Covered Macadamia Nuts",
Chocolate Peanut Buttery Swirl,93,260,150,17.0,7.0,0,35,95,23,2,19,6,,,"Chocolate ice cream with a thick peanut buttery swirl",Scoop Shop Exclusive
Chocolate Therapy,86,220,110,12.0,6.0,0,35,55,27,2,22,4,,,"Chocolate ice cream with chocolate cookies and swirls of chocolate pudding",
Chocowlate Chip,92,230,120,13.0,9.0,0,55,30,25,<1,22,4,,,"Fair Trade Certified Vanilla ice cream with fudge cows",Scoop Shop Exclusive
Chubby Hubby®,111,340,180,20.0,10.0,0,55,140,33,1,25,7,,,"Fudge Covered Peanut Butter Filled Pretzels in Vanilla Malt Ice Cream Rippled with Fudge & Peanut Butter",
Chunky Monkey®,107,290,160,18.0,10.0,0,65,35,29,1,27,4,,,"Banana Ice Cream with Fudge Chunks & Walnuts",
Cinnamon Buns,111,290,140,15.0,9.0,0,60,120,36,0,28,4,,,"Caramel Ice Cream with Cinnamon Bun Dough & a Cinnamon Streusel Swirl",
Coconut Seven Layer Bar,92,280,160,18.0,11.0,0,50,45,26,1,20,3,,,"Coconut Ice Cream with Coconut & Fudge Flakes, Walnuts and Swirls of Graham Cracker & Butterscotch",Scoop Shop Exclusive
Coffee,88,190,100,11.0,8.0,0,60,50,18,0,16,3,,,"Coffee ice cream (made with Fair Trade Certified coffee)",Scoop Shop Exclusive
